run,description,batch_size,rep,task_sequence,tasks_in_batch,backbone_latency_ms,total_latency_ms,per_request_latency_ms,mean_decoder_latency_ms,sum_decoder_latency_ms,mean_swap_latency_ms,gpu_peak_mb
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,34,heartrate,"heartrate,heartrate",3.230352,4.001603,2.0008015,0.343888,0.687776,0.0004765,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,35,heartrate,"heartrate,heartrate",3.4757,4.225035,2.1125175,0.3319035,0.663807,0.0005665,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,36,heartrate,"heartrate,heartrate",3.246269,4.021398,2.010699,0.345017,0.690034,0.0005525,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,37,heartrate,"heartrate,heartrate",3.217284,4.006292,2.003146,0.3535635,0.707127,0.00047,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,38,heartrate,"heartrate,heartrate",3.206178,4.001128,2.000564,0.3544185,0.708837,0.000483,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,39,heartrate,"heartrate,heartrate",3.314147,4.00024,2.00012,0.3004615,0.600923,0.000455,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,40,heartrate,"heartrate,heartrate",3.206935,3.995254,1.997627,0.353269,0.706538,0.0004395,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,41,heartrate,"heartrate,heartrate",3.204855,4.003833,2.0019165,0.35836,0.71672,0.000514,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,42,heartrate,"heartrate,heartrate",3.363369,4.150467,2.0752335,0.3532495,0.706499,0.000491,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,43,heartrate,"heartrate,heartrate",3.321821,3.986922,1.993461,0.289708,0.579416,0.000712,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,44,heartrate,"heartrate,heartrate",3.214339,4.013656,2.006828,0.3584655,0.716931,0.000616,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,45,heartrate,"heartrate,heartrate",3.209499,3.997717,1.9988585,0.353765,0.70753,0.000453,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,46,heartrate,"heartrate,heartrate",3.220282,4.008036,2.004018,0.3529755,0.705951,0.000466,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,47,heartrate,"heartrate,heartrate",3.195021,4.000256,2.000128,0.361049,0.722098,0.0004725,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,48,heartrate,"heartrate,heartrate",3.206666,4.007692,2.003846,0.3590565,0.718113,0.0004815,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,49,heartrate,"heartrate,heartrate",3.373161,4.165288,2.082644,0.3561565,0.712313,0.0005085,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,0,heartrate,"heartrate,heartrate,heartrate,heartrate",3.231823,5.651942,1.4129855,0.5845935,2.338374,0.00030525,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,1,heartrate,"heartrate,heartrate,heartrate,heartrate",3.388311,5.71256,1.42814,0.5584615,2.233846,0.000332,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,2,heartrate,"heartrate,heartrate,heartrate,heartrate",3.266265,5.689316,1.422329,0.54990575,2.199623,0.0003195,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,3,heartrate,"heartrate,heartrate,heartrate,heartrate",3.240788,5.664629,1.41615725,0.58551675,2.342067,0.00031,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,4,heartrate,"heartrate,heartrate,heartrate,heartrate",3.302737,5.700043,1.42501075,0.57767575,2.310703,0.00035475,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,5,heartrate,"heartrate,heartrate,heartrate,heartrate",3.292908,5.696845,1.42421125,0.57947725,2.317909,0.000345,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,6,heartrate,"heartrate,heartrate,heartrate,heartrate",3.240949,5.834009,1.45850225,0.625088,2.500352,0.00033575,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,7,heartrate,"heartrate,heartrate,heartrate,heartrate",3.228192,5.654514,1.4136285,0.58581,2.34324,0.000319,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,8,heartrate,"heartrate,heartrate,heartrate,heartrate",3.339999,5.671459,1.41786475,0.5623725,2.24949,0.00030575,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,9,heartrate,"heartrate,heartrate,heartrate,heartrate",3.282592,5.669408,1.417352,0.576733,2.306932,0.00031175,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,10,heartrate,"heartrate,heartrate,heartrate,heartrate",3.183169,5.838392,1.459598,0.643296,2.573184,0.000322,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,11,heartrate,"heartrate,heartrate,heartrate,heartrate",3.194996,5.648402,1.4121005,0.59304975,2.372199,0.000334,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,12,heartrate,"heartrate,heartrate,heartrate,heartrate",3.183565,5.628562,1.4071405,0.591353,2.365412,0.00029675,444.76318359375
